full_date,source,avg_time_day
2020-07-21,alternative,0
2020-07-21,extremist,0
2020-07-21,mainstream,1.669901651929967e-4
2020-07-21,other,0.014340916671520858
2020-07-22,alternative,0
2020-07-22,extremist,0
2020-07-22,mainstream,0.002094413649468382
2020-07-22,other,0.05813482117507343
2020-07-23,alternative,0
2020-07-23,extremist,0
2020-07-23,mainstream,0.02712963756736706
2020-07-23,other,0.09071490349859895
2020-07-24,alternative,0
2020-07-24,extremist,0
2020-07-24,mainstream,8.310034736531245e-5
2020-07-24,other,0.04626634629523056
2020-07-25,alternative,0
2020-07-25,extremist,0
2020-07-25,mainstream,0
2020-07-25,other,2.441581836852749e-4
2020-07-26,alternative,0
2020-07-26,extremist,0
2020-07-26,mainstream,0
2020-07-26,other,0.0016143267386418178
2020-07-27,alternative,0
2020-07-27,extremist,0
2020-07-27,mainstream,0
2020-07-27,other,0.04773537757971702
2020-07-28,alternative,0
2020-07-28,extremist,0
2020-07-28,mainstream,0
2020-07-28,other,0.008486831958578113
2020-07-29,alternative,0
2020-07-29,extremist,0
2020-07-29,mainstream,0.001167043292201827
2020-07-29,other,0.012806007699039229
2020-07-30,alternative,0
2020-07-30,extremist,0
2020-07-30,mainstream,0
2020-07-30,other,0.02064997992910652
2020-07-31,alternative,0
2020-07-31,extremist,0
2020-07-31,mainstream,0
2020-07-31,other,0.00527951334391181
2020-08-02,alternative,0
2020-08-02,extremist,0
2020-08-02,mainstream,0
2020-08-02,other,0.035356705498992495
2020-08-03,alternative,0
2020-08-03,extremist,0
2020-08-03,mainstream,0
2020-08-03,other,0.023668611002892612
2020-08-04,alternative,0.20450567352515658
2020-08-04,extremist,0
2020-08-04,mainstream,0.12276850119202291
2020-08-04,other,1.1809110778165364
2020-08-05,alternative,1.160115405251518
2020-08-05,extremist,0
2020-08-05,mainstream,0.039789965501920356
2020-08-05,other,1.9948569010433244
2020-08-06,alternative,2.5919112035532366
2020-08-06,extremist,0.19997261565974375
2020-08-06,mainstream,0.27185428327028355
2020-08-06,other,2.7965164004397445
2020-08-07,alternative,0.6832162342902038
2020-08-07,extremist,0
2020-08-07,mainstream,0.07720184144556554
2020-08-07,other,1.8657079247831974
2020-08-08,alternative,0.3301489314945097
2020-08-08,extremist,0
2020-08-08,mainstream,0.009030088432008926
2020-08-08,other,0.6249710501944564
2020-08-09,alternative,0.2055970604913236
2020-08-09,extremist,0.047274140331874125
2020-08-09,mainstream,0.16327285005925732
2020-08-09,other,1.2406520496900304
2020-08-10,alternative,5.574030265046493
2020-08-10,extremist,0.22776034898466418
2020-08-10,mainstream,0.38417060747583254
2020-08-10,other,11.181899703586279
2020-08-11,alternative,7.677504895795951
2020-08-11,extremist,0.3155330159448825
2020-08-11,mainstream,0.8268481367804612
2020-08-11,other,16.30332161837625
2020-08-12,alternative,2.835338197760942
2020-08-12,extremist,0.05587982421268762
2020-08-12,mainstream,1.142211664033877
2020-08-12,other,22.747289743755413
2020-08-13,alternative,4.131359023792519
2020-08-13,extremist,0.03747160699091735
2020-08-13,mainstream,0.7316985120296094
2020-08-13,other,14.832888649958743
2020-08-14,alternative,2.0618877773824162
2020-08-14,extremist,0.02667856914279604
2020-08-14,mainstream,0.42097691595776265
2020-08-14,other,18.24292039280041
2020-08-15,alternative,1.528619075281584
2020-08-15,extremist,0
2020-08-15,mainstream,0.3044680125457861
2020-08-15,other,19.204285743394614
2020-08-16,alternative,2.5735098715890654
2020-08-16,extremist,0.19160176642313365
2020-08-16,mainstream,0.4640505724538077
2020-08-16,other,16.782832533528815
2020-08-17,alternative,1.1866545145231597
2020-08-17,extremist,0.3180452686302022
2020-08-17,mainstream,0.8547701294289922
2020-08-17,other,19.750865411361403
2020-08-18,alternative,4.620027416942723
2020-08-18,extremist,1.0601619073337925
2020-08-18,mainstream,1.673919382643951
2020-08-18,other,25.60603178809413
2020-08-19,alternative,3.024787840907753
2020-08-19,extremist,0.8227655577152775
2020-08-19,mainstream,1.6823449270805588
2020-08-19,other,22.17654672198439
2020-08-20,alternative,2.398948853135239
2020-08-20,extremist,2.1389577448964014
2020-08-20,mainstream,2.252287356908588
2020-08-20,other,22.986194924964096
2020-08-21,alternative,1.803056971577433
2020-08-21,extremist,0.31882475589347814
2020-08-21,mainstream,2.1273902932162225
2020-08-21,other,21.83361128508189
2020-08-22,alternative,1.1290612009533458
2020-08-22,extremist,0.43744228768760746
2020-08-22,mainstream,1.1932663165549886
2020-08-22,other,24.94115805652346
2020-08-23,alternative,1.5659482077982263
2020-08-23,extremist,1.0293817421250844
2020-08-23,mainstream,1.9342204524431694
2020-08-23,other,25.919356536209094
2020-08-24,alternative,1.9778854504550338
2020-08-24,extremist,0.25525571717216006
2020-08-24,mainstream,1.175364509634446
2020-08-24,other,20.99977700291292
2020-08-25,alternative,3.8100005509066412
2020-08-25,extremist,0.565983683775173
2020-08-25,mainstream,1.649785226260391
2020-08-25,other,23.987787077036195
2020-08-26,alternative,3.804887545701789
2020-08-26,extremist,0.3529971903776159
2020-08-26,mainstream,2.222706925265748
2020-08-26,other,26.07463723028979
2020-08-27,alternative,5.252072619142714
2020-08-27,extremist,0.32574695219147853
2020-08-27,mainstream,1.9782895380535033
2020-08-27,other,25.96131211067097
2020-08-28,alternative,2.135155461059405
2020-08-28,extremist,0.10852638880037474
2020-08-28,mainstream,3.756149397014838
2020-08-28,other,25.157797832706727
2020-08-29,alternative,3.8159476690714964
2020-08-29,extremist,0.12835608545128205
2020-08-29,mainstream,0.9992989021517914
2020-08-29,other,26.744335229381157
2020-08-30,alternative,3.8661188459584936
2020-08-30,extremist,0.547250507230632
2020-08-30,mainstream,1.0486420198845432
2020-08-30,other,29.899944035167746
2020-08-31,alternative,6.911265619521984
2020-08-31,extremist,4.693829067936763
2020-08-31,mainstream,0.6548592516232431
2020-08-31,other,19.42219457228639
2020-09-01,alternative,9.543548173577914
2020-09-01,extremist,0.43005812994735826
2020-09-01,mainstream,1.319093074348618
2020-09-01,other,26.173465725841297
2020-09-02,alternative,3.210621938235983
2020-09-02,extremist,0.5976787150716055
2020-09-02,mainstream,0.9622177992932672
2020-09-02,other,27.71189257459806
2020-09-03,alternative,5.214223594463579
2020-09-03,extremist,0.26401891474504474
2020-09-03,mainstream,1.3878267737587366
2020-09-03,other,29.288029521104985
2020-09-04,alternative,11.298480520189763
2020-09-04,extremist,0.019189570304260474
2020-09-04,mainstream,0.8565476938748249
2020-09-04,other,25.536995321899653
2020-09-05,alternative,4.983035695329946
2020-09-05,extremist,0.09583882999132047
2020-09-05,mainstream,1.0174193632408033
2020-09-05,other,27.043472454280273
2020-09-06,alternative,4.376488031244534
2020-09-06,extremist,0.16334189060296586
2020-09-06,mainstream,1.1224041238394364
2020-09-06,other,24.753425191364272
2020-09-07,alternative,1.1498325838076473
2020-09-07,extremist,0.08882244596284171
2020-09-07,mainstream,0.4487979673540595
2020-09-07,other,15.13833817293825
2020-09-08,alternative,2.2107208677899055
2020-09-08,extremist,0.12059119487042651
2020-09-08,mainstream,0.888832800795544
2020-09-08,other,26.969808231827326
2020-09-09,alternative,1.3167224555687147
2020-09-09,extremist,0.16911091710116946
2020-09-09,mainstream,2.0749116951173083
2020-09-09,other,23.77182453349993
2020-09-10,alternative,4.895223933678989
2020-09-10,extremist,1.0728791632038606
2020-09-10,mainstream,2.9435907842611004
2020-09-10,other,28.606065118595115
2020-09-11,alternative,3.7816733178135657
2020-09-11,extremist,0.6382273038960673
2020-09-11,mainstream,1.418895916296178
2020-09-11,other,26.996514279977205
2020-09-12,alternative,2.1961562809247095
2020-09-12,extremist,0.009787751920078618
2020-09-12,mainstream,0.9176235000482561
2020-09-12,other,28.36032086329663
2020-09-13,alternative,1.701809584068885
2020-09-13,extremist,0.29490702392845264
2020-09-13,mainstream,1.0070719954091925
2020-09-13,other,30.95432005682861
2020-09-14,alternative,1.6696227406756923
2020-09-14,extremist,0.23912500953552276
2020-09-14,mainstream,0.8888737916999326
2020-09-14,other,15.608446557331614
2020-09-15,alternative,3.7480017235504604
2020-09-15,extremist,0.4960100731437313
2020-09-15,mainstream,1.9700062154278701
2020-09-15,other,27.23028425376394
2020-09-16,alternative,6.278995620284918
2020-09-16,extremist,1.1941756317536916
2020-09-16,mainstream,1.3558523175976118
2020-09-16,other,25.480336547555105
2020-09-17,alternative,9.973055895067496
2020-09-17,extremist,1.1272788304101968
2020-09-17,mainstream,1.262498477598316
2020-09-17,other,27.95108371199308
2020-09-18,alternative,10.32799085209622
2020-09-18,extremist,0.5579600309170819
2020-09-18,mainstream,1.6247026701192366
2020-09-18,other,25.572956303093285
2020-09-19,alternative,7.702250973188098
2020-09-19,extremist,2.623470785218497
2020-09-19,mainstream,1.097829576228082
2020-09-19,other,25.849325393959454
2020-09-20,alternative,5.591495581980146
2020-09-20,extremist,0.9125705805293958
2020-09-20,mainstream,1.3328928683544456
2020-09-20,other,34.90695698533016
2020-09-21,alternative,1.9919703139514473
2020-09-21,extremist,0.8083513674547551
2020-09-21,mainstream,0.5454684072989294
2020-09-21,other,10.680016891134624
2020-09-22,alternative,4.34598547968569
2020-09-22,extremist,0.36277749133235504
2020-09-22,mainstream,1.033541757426046
2020-09-22,other,28.815759739528197
2020-09-23,alternative,4.108409127363642
2020-09-23,extremist,0.5551090027846536
2020-09-23,mainstream,1.6701631365022684
2020-09-23,other,23.5443783225347
